epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,17461,0.70186,0.45514,1.09137,0.9758,0.94724,0.96758,0.77008,0.4809,0.89251,0.73633,0.00307,0.00307,0.00307
142,17579.5,0.69769,0.45246,1.09156,0.97572,0.94732,0.9676,0.77039,0.48063,0.89409,0.73619,0.0030205,0.0030205,0.0030205
143,17698.3,0.69249,0.45099,1.0916,0.9758,0.94715,0.96775,0.771,0.48037,0.89642,0.73598,0.002971,0.002971,0.002971
144,17817.2,0.68824,0.44181,1.08657,0.97601,0.94704,0.96779,0.77111,0.48023,0.8977,0.73588,0.0029215,0.0029215,0.0029215
145,17935.9,0.68275,0.44339,1.08428,0.97625,0.94697,0.96785,0.7714,0.48007,0.89667,0.73579,0.002872,0.002872,0.002872
146,18054.4,0.68169,0.44263,1.08369,0.97575,0.94794,0.96797,0.77227,0.47978,0.89576,0.7356,0.0028225,0.0028225,0.0028225
147,18173.1,0.68643,0.44086,1.08567,0.97493,0.94818,0.96797,0.77264,0.47947,0.89504,0.73543,0.002773,0.002773,0.002773
148,18291.5,0.68171,0.44355,1.08268,0.97461,0.94798,0.96802,0.77335,0.47916,0.89378,0.7352,0.0027235,0.0027235,0.0027235
149,18410.4,0.68103,0.44153,1.08339,0.97517,0.94623,0.96809,0.77368,0.47879,0.89309,0.73497,0.002674,0.002674,0.002674
150,18528.3,0.67081,0.43136,1.07896,0.97344,0.94996,0.96815,0.77375,0.47851,0.89094,0.73477,0.0026245,0.0026245,0.0026245
151,18647.1,0.67029,0.44183,1.07624,0.97361,0.9505,0.96823,0.77419,0.47819,0.89036,0.73457,0.002575,0.002575,0.002575
152,18765.7,0.67045,0.42799,1.08024,0.97163,0.94808,0.96646,0.77466,0.47788,0.88906,0.73431,0.0025255,0.0025255,0.0025255
153,18884.9,0.66388,0.43025,1.07217,0.97333,0.95031,0.96826,0.77488,0.47764,0.88925,0.73419,0.002476,0.002476,0.002476
154,19003.6,0.66382,0.43347,1.0771,0.9733,0.95064,0.96827,0.77528,0.47735,0.88827,0.73396,0.0024265,0.0024265,0.0024265
155,19121.9,0.66539,0.42656,1.07412,0.97338,0.95087,0.96829,0.77542,0.47715,0.88755,0.73381,0.002377,0.002377,0.002377
156,19241.1,0.65938,0.42412,1.07077,0.97355,0.95061,0.96833,0.77566,0.47694,0.8871,0.73366,0.0023275,0.0023275,0.0023275
157,19359.5,0.65705,0.42428,1.07031,0.9733,0.95058,0.9684,0.7758,0.47668,0.88541,0.73349,0.002278,0.002278,0.002278
158,19478.3,0.64875,0.42209,1.06551,0.97518,0.94932,0.96843,0.77545,0.47642,0.88394,0.73325,0.0022285,0.0022285,0.0022285
159,19597.1,0.65712,0.42227,1.06845,0.97512,0.94928,0.96845,0.77522,0.47615,0.88322,0.73299,0.002179,0.002179,0.002179
160,19715.4,0.64504,0.41543,1.06215,0.97499,0.94914,0.96848,0.77547,0.47584,0.88171,0.73278,0.0021295,0.0021295,0.0021295
161,19834.4,0.64447,0.41391,1.06265,0.97436,0.94896,0.96847,0.77565,0.47557,0.88032,0.73262,0.00208,0.00208,0.00208
162,19953,0.64562,0.41756,1.06395,0.97445,0.94859,0.96849,0.77672,0.47528,0.88035,0.7324,0.0020305,0.0020305,0.0020305
163,20071.8,0.64135,0.41427,1.06162,0.97453,0.94822,0.96865,0.77679,0.47509,0.8801,0.73231,0.001981,0.001981,0.001981
164,20190.4,0.63778,0.41392,1.05928,0.97452,0.94827,0.96866,0.77637,0.47487,0.88051,0.73218,0.0019315,0.0019315,0.0019315
165,20308.8,0.63505,0.40716,1.05697,0.97405,0.94978,0.96862,0.77583,0.47459,0.88035,0.73197,0.001882,0.001882,0.001882
166,20427.7,0.63514,0.40957,1.05906,0.9721,0.94805,0.96659,0.77569,0.47428,0.88029,0.73178,0.0018325,0.0018325,0.0018325
167,20546.3,0.63036,0.40241,1.05469,0.97183,0.94821,0.96644,0.77598,0.47397,0.87966,0.73156,0.001783,0.001783,0.001783
168,20665.3,0.62688,0.40842,1.05791,0.97111,0.94868,0.96653,0.77594,0.47368,0.87908,0.73143,0.0017335,0.0017335,0.0017335
169,20783.8,0.62783,0.39752,1.05158,0.97099,0.94873,0.96649,0.77578,0.47338,0.87861,0.73126,0.001684,0.001684,0.001684
